restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,cuisine
1,Yaa Mohaideen Briyani,Restaurant,Pallavaram,4.3,12.9675,80.1491,Biryani
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Biryani
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,North Indian
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Mughlai
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Desserts
2,Sukkubhai Biriyani,Restaurant,Alandur,4.4,12.9975,80.2006,Beverages
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Biryani
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,North Indian
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Chinese
3,SS Hyderabad Biryani,Restaurant,Kodambakkam,4.3,13.0521,80.2255,Arabian
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Burger
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Fast Food
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Finger Food
4,KFC,Fast Food,Perambur,4.0,13.121,80.2326,Beverages
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Chinese
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Biryani
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,North Indian
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Chettinad
5,Tasty Kitchen,Restaurant,Perambur,4.2,13.121,80.2326,Arabian
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,South Indian
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,North Indian
6,Dine N Fun,Restaurant,Medavakkam,4.1,12.92,80.192,Chinese
7,Bai Veetu Kalyanam,Restaurant,Navallur,3.1,12.8459,80.2265,Biryani
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Cafe
8,Cafe Arabica,Cafe,Anna Nagar East,4.3,13.092,80.2236,Fast Food
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Arabian
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Chinese
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,North Indian
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Lebanese
9,Savoury Sea Shell,Restaurant,Anna Nagar East,4.2,13.092,80.2236,Salad
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,South Indian
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,North Indian
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Chinese
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Chettinad
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Desserts
10,Sangeetha Veg Restaurant,Restaurant,T. Nagar,4.4,13.0418,80.2341,Beverages
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Burger
11,McDonalds,Fast Food,Velachery,3.9,12.9755,80.2207,Fast Food
12,Kovai Alankar Vilas,Restaurant,Anna Nagar East,4.4,13.092,80.2236,South Indian
13,Hotel Al Buhari,Hotel,Vadapalani,4.0,13.05,80.2121,Chinese
13,Hotel Al Buhari,Hotel,Vadapalani,4.0,13.05,80.2121,Chettinad
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,South Indian
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Biryani
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,Chinese
14,Dindigul Thalappakatti,Restaurant,Porur,4.3,13.0382,80.1565,North Indian
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,North Indian
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Chinese
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Seafood
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,South Indian
15,Hotel Paramount,Hotel,Kilpauk,4.3,13.0828,80.2417,Biryani
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,South Indian
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Desserts
16,Welcome Hotel,Hotel,Purasavakkam,4.5,13.0902,80.2543,Beverages
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Arabian
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Biryani
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Chinese
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,North Indian
17,Arab Street,Restaurant,Ashok Nagar,4.1,13.0373,80.2123,Italian
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Seafood
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Biryani
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Hyderabadi
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Arabian
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,North Indian
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Chinese
18,Abids,Restaurant,Chetpet,4.2,13.0714,80.2417,Kerala
