outlets,avg_rating
3527,3.470654947547491
3264,3.5132352941176475
3157,3.4929996832435855
3079,3.4812926274764533
2444,3.5174713584288053
1844,3.5150759219088936
1364,3.5334310850439885
925,3.4913513513513514
895,3.463798882681564
777,3.5015444015444013
689,3.5136429608127724
646,3.4543343653250775
443,3.4873589164785557
437,3.78604118993135
406,3.5482758620689654
375,3.4928
342,3.369590643274854
331,3.797583081570997
331,3.4876132930513597
327,3.568195718654434
302,3.6033112582781457
286,3.55
274,3.5467153284671533
203,3.5768472906403943
159,3.5836477987421382
159,3.643396226415094
158,3.5563291139240505
154,3.5675324675324673
153,3.480392156862745
135,3.602962962962963
124,3.6548387096774193
117,3.718803418803419
109,3.7128440366972475
104,3.806730769230769
91,3.620879120879121
66,3.946969696969697
58,3.5827586206896553
52,3.576923076923077
49,3.5142857142857142
43,3.6627906976744184
39,3.5615384615384618
38,3.85
34,3.885294117647059
