outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
413,3.470944309927361,3.6,13.027488861985471,80.16530145278449,0.7360513257136666
362,3.5433701657458565,3.6,12.985600276243094,80.21326077348066,0.7328467261271171
328,3.487195121951219,3.6,13.088115548780488,80.17098109756097,0.6974521963280258
308,3.5876623376623376,3.6,13.034077922077923,80.22537792207791,0.7375869177428441
285,3.542456140350877,3.6,12.973459649122807,80.23779754385966,0.6469041917585455
278,3.631654676258993,3.6,13.065091007194244,80.21635107913669,0.7248657764818444
273,3.493772893772894,3.6,13.096342857142858,80.22482454212455,0.6276659299467989
265,3.4973584905660378,3.6,12.947336981132075,80.19569358490565,0.7244680304727654
255,3.5227450980392154,3.6,12.945436470588236,80.12683960784314,0.7349616481887048
245,3.692244897959184,3.7,13.048123265306122,80.23876530612246,0.7743737181753078
244,3.5213114754098362,3.6,13.02229918032787,80.18469262295083,0.6901603551134105
235,3.562553191489362,3.6,13.068389787234041,80.2050165957447,0.767065721850465
233,3.5570815450643773,3.6,12.962493133047209,80.22761545064378,0.7032417865525
214,3.5168224299065423,3.6,13.054690186915888,80.1872523364486,0.7541617373726437
213,3.475117370892019,3.6,12.934071830985916,80.15518920187793,0.6922642767972763
202,3.5737623762376236,3.6,13.064101485148514,80.22686534653465,0.7838348583579227
199,3.475879396984925,3.6,12.974306030150753,80.19618291457286,0.7364123291945617
196,3.603571428571428,3.6,13.012620408163267,80.24000867346939,0.7876726582802438
194,3.454639175257732,3.6,12.998853608247423,80.19295927835051,0.7225952329137986
190,3.4099999999999997,3.6,12.973734210526317,80.16100578947369,0.716514884150732
177,3.5033898305084747,3.6,12.96761581920904,80.15872090395479,0.6728867179185817
169,3.4467455621301775,3.6,13.10594674556213,80.20938639053254,0.6012434466819225
162,3.5160493827160497,3.6,12.912600617283951,80.22201481481483,0.6789330458767439
160,3.6100000000000003,3.6,13.034191875,80.253609375,0.7634498215133124
156,3.467948717948718,3.6,13.042179487179487,80.12554294871795,0.7304065952655687
154,3.5084415584415583,3.6,13.026072727272728,80.21252142857143,0.6921088175381095
140,3.5307142857142857,3.6,12.873754285714284,79.80217428571429,0.7717374406402476
130,3.456153846153846,3.6,13.062575384615386,80.24355846153847,0.7234423441502223
129,3.534108527131783,3.6,13.042791472868217,80.21743488372093,0.6836316080879803
122,3.469672131147541,3.6,13.034015573770493,80.18290163934427,0.8182242351811486
120,3.5433333333333334,3.6,12.865365,80.07369416666667,0.690620234154534
120,3.4991666666666665,3.6,13.093369166666667,80.26803583333334,0.7281300210137378
118,3.5042372881355934,3.6,13.086000847457628,80.12033220338982,0.6845223703110597
117,3.6623931623931623,3.6,13.00218888888889,80.24520085470085,0.7366158125961305
