restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,feature
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Resto Bar
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,LGBTQIA Friendly
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Private Dining Area Available
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Live Entertainment
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Indoor Seating
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Table booking recommended
19,Wire Room Bar & Kitchen,Bar,"Phoenix Market City, Velachery",4.1,12.9755,80.2207,Smoking Area
20,Malabar Biriyani Center,Restaurant,Aminijikarai,4.1,13.0711,80.2227,Home Delivery
20,Malabar Biriyani Center,Restaurant,Aminijikarai,4.1,13.0711,80.2227,Indoor Seating
21,Velidis,Restaurant,Ramapuram,4.2,13.0317,80.1817,Home Delivery
21,Velidis,Restaurant,Ramapuram,4.2,13.0317,80.1817,Free Parking
21,Velidis,Restaurant,Ramapuram,4.2,13.0317,80.1817,Indoor Seating
22,Mami Tiffen Stall,Restaurant,Mylapore,4.3,13.0368,80.2676,Breakfast
22,Mami Tiffen Stall,Restaurant,Mylapore,4.3,13.0368,80.2676,Home Delivery
22,Mami Tiffen Stall,Restaurant,Mylapore,4.3,13.0368,80.2676,Free Parking
22,Mami Tiffen Stall,Restaurant,Mylapore,4.3,13.0368,80.2676,Indoor Seating
23,Supriya Andhra Restaurant,Restaurant,Thuraipakkam,4.2,12.9416,80.2362,Home Delivery
23,Supriya Andhra Restaurant,Restaurant,Thuraipakkam,4.2,12.9416,80.2362,Free Parking
23,Supriya Andhra Restaurant,Restaurant,Thuraipakkam,4.2,12.9416,80.2362,Indoor Seating
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Full Bar Available
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Indoor Seating
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Nightlife
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Table booking recommended
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,LGBTQIA Friendly
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Smoking Area
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Live Sports Screening
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Valet Parking Available
24,BFF 2.0,Bar,RA Puram,4.2,13.0235,80.2588,Live Music
25,Eating Circles,Restaurant,Alwarpet,4.7,13.0335,80.2531,Breakfast
25,Eating Circles,Restaurant,Alwarpet,4.7,13.0335,80.2531,Home Delivery
25,Eating Circles,Restaurant,Alwarpet,4.7,13.0335,80.2531,Vegetarian Only
25,Eating Circles,Restaurant,Alwarpet,4.7,13.0335,80.2531,Indoor Seating
26,Salem RR Briyani Unavagam,Restaurant,Velachery,4.2,12.9755,80.2207,Home Delivery
26,Salem RR Briyani Unavagam,Restaurant,Velachery,4.2,12.9755,80.2207,Indoor Seating
26,Salem RR Briyani Unavagam,Restaurant,Velachery,4.2,12.9755,80.2207,Catering Available
27,V4 Midnight Dhabba,Restaurant,Mogappair,4.3,13.0837,80.175,Home Delivery
27,V4 Midnight Dhabba,Restaurant,Mogappair,4.3,13.0837,80.175,Indoor Seating
27,V4 Midnight Dhabba,Restaurant,Mogappair,4.3,13.0837,80.175,Table booking recommended
28,Bakya Veg Restaurant,Restaurant,West Mambalam,4.2,13.0383,80.2209,Breakfast
28,Bakya Veg Restaurant,Restaurant,West Mambalam,4.2,13.0383,80.2209,Home Delivery
28,Bakya Veg Restaurant,Restaurant,West Mambalam,4.2,13.0383,80.2209,Vegetarian Only
28,Bakya Veg Restaurant,Restaurant,West Mambalam,4.2,13.0383,80.2209,Free Parking
28,Bakya Veg Restaurant,Restaurant,West Mambalam,4.2,13.0383,80.2209,Indoor Seating
29,Midnight Madness,Restaurant,Adyar,4.1,13.0012,80.2565,Home Delivery
29,Midnight Madness,Restaurant,Adyar,4.1,13.0012,80.2565,Indoor Seating
30,Hotel Crescent,Hotel,Nungambakkam,4.3,13.0569,80.2425,Home Delivery
30,Hotel Crescent,Hotel,Nungambakkam,4.3,13.0569,80.2425,Indoor Seating
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Home Delivery
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Serves Halal
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Free Parking
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Indoor Seating
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Table booking for Groups
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Valet Parking Available
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Table booking recommended
31,Zaitoon,Restaurant,Royapettah,4.1,13.054,80.2641,Card Upon Delivery
