market_period,brand,shipments_k,market_share_pct,market_source
2023Q1,Amazon,2502,7.5,"Canalys Q1 2024 comparison column"
2023Q1,Lenovo,1892,5.7,"Canalys Q1 2024 comparison column"
2023Q1,Huawei,1607,4.8,"Canalys Q1 2024 comparison column"
2023Q1,Others,6689,20.0,"Canalys Q1 2024 comparison column"
2023Q1,Total,33365,100.0,"Canalys Q1 2024 comparison column"
2023Q2,Apple,12350,39.8,"Canalys Q2 2023"
2023Q2,Samsung,6010,18.8,"Canalys Q2 2023"
2023Q2,Amazon,2206,6.9,"Canalys Q2 2023"
2023Q2,Lenovo,2136,6.7,"Canalys Q2 2023"
2023Q2,Huawei,1658,5.2,"Canalys Q2 2023"
2023Q2,Others,6658,20.8,"Canalys Q2 2023"
2023Q2,Total,31018,100.0,"Canalys Q2 2023"
2023Q3,Apple,12542,38.3,"Canalys Q3 2023"
2023Q3,Samsung,6219,19.0,"Canalys Q3 2023"
2023Q3,Lenovo,2600,8.0,"Canalys Q3 2023"
2023Q3,Huawei,1872,5.7,"Canalys Q3 2023"
2023Q3,Xiaomi,1618,4.9,"Canalys Q3 2023"
2023Q3,Others,7853,24.0,"Canalys Q3 2023"
2023Q3,Total,32705,100.0,"Canalys Q3 2023"
2023Q4,Apple,14801,39.2,"Canalys Q4 2023"
2023Q4,Samsung,6816,18.0,"Canalys Q4 2023"
2023Q4,Huawei,2815,7.5,"Canalys Q4 2023"
2023Q4,Lenovo,2682,7.1,"Canalys Q4 2023"
2023Q4,Amazon,2001,5.3,"Canalys Q4 2023"
2023Q4,Others,8655,22.9,"Canalys Q4 2023 plus total from subsequent Canalys comparison"
2023Q4,Total,37770,100.0,"Canalys Q4 2023 plus total from subsequent Canalys comparison"
2024Q1,Apple,12012,35.6,"Canalys Q1 2024"
2024Q1,Samsung,6801,20.2,"Canalys Q1 2024"
2024Q1,Huawei,2735,8.1,"Canalys Q1 2024"
2024Q1,Lenovo,2135,6.3,"Canalys Q1 2024"
2024Q1,Amazon,2045,6.1,"Canalys Q1 2024"
2024Q1,Others,7969,23.6,"Canalys Q1 2024"
2024Q1,Total,33698,100.0,"Canalys Q1 2024"
2024Q2,Apple,13908,38.7,"Canalys Q2 2024"
2024Q2,Samsung,6776,18.9,"Canalys Q2 2024"
2024Q2,Huawei,2501,7.0,"Canalys Q2 2024"
2024Q2,Lenovo,2485,6.9,"Canalys Q2 2024"
2024Q2,Xiaomi,2144,6.0,"Canalys Q2 2024"
2024Q2,Others,8122,22.6,"Canalys Q2 2024"
2024Q2,Total,35937,100.0,"Canalys Q2 2024"
2024Q3,Apple,13591,36.3,"Canalys Q3 2024"
2024Q3,Samsung,6886,18.4,"Canalys Q3 2024"
2024Q3,Lenovo,2974,7.9,"Canalys Q3 2024"
2024Q3,Huawei,2867,7.7,"Canalys Q3 2024"
2024Q3,Xiaomi,2563,6.8,"Canalys Q3 2024"
2024Q3,Others,8549,22.8,"Canalys Q3 2024"
2024Q3,Total,37430,100.0,"Canalys Q3 2024"
2024Q4,Apple,16863,42.3,"Canalys Q4 2024"
2024Q4,Samsung,7096,17.8,"Canalys Q4 2024"
2024Q4,Lenovo,2832,7.1,"Canalys Q4 2024"
2024Q4,Huawei,2639,6.6,"Canalys Q4 2024"
2024Q4,Xiaomi,2542,6.4,"Canalys Q4 2024"
2024Q4,Others,7896,19.8,"Canalys Q4 2024"
2024Q4,Total,39867,100.0,"Canalys Q4 2024"
2025Q1,Apple,13746,37.3,"Canalys Q1 2025"
2025Q1,Samsung,6633,18.0,"Canalys Q1 2025"
2025Q1,Xiaomi,3072,8.3,"Canalys Q1 2025"
2025Q1,Lenovo,2537,6.9,"Canalys Q1 2025"
2025Q1,Huawei,2394,6.5,"Canalys Q1 2025"
2025Q1,Others,8453,22.9,"Canalys Q1 2025"
2025Q1,Total,36834,100.0,"Canalys Q1 2025"
2025Q2,Apple,14108,36.1,"Canalys Q2 2025"
2025Q2,Samsung,6656,17.1,"Canalys Q2 2025"
2025Q2,Huawei,3231,8.3,"Canalys Q2 2025"
2025Q2,Lenovo,3098,7.9,"Canalys Q2 2025"
2025Q2,Xiaomi,3051,7.8,"Canalys Q2 2025"
2025Q2,Others,8891,22.8,"Canalys Q2 2025"
2025Q2,Total,39035,100.0,"Canalys Q2 2025"
